"sample","group","feature01","feature02","feature03","feature04","feature05","feature06","feature07","feature08","feature09","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","feature22","feature23","feature24","feature25","feature26","feature27","feature28","feature29","feature30","feature31","feature32","feature33","feature34","feature35","feature36","feature37","feature38","feature39","feature40"
"S11","healthy",0.666,4.613,0.354,-0.752,-5.134,-2.753,1.811,-3.326,1.19,-3.011,1.291,0.293,0.606,0.153,-2.701,-1.18,-0.749,0.433,-6.067,2.9,-1.089,1.487,0.886,2.879,0.446,-4.338,-1.74,-2.073,1.149,-0.66,-2.875,2.352,-3.571,2.812,-2.233,0.468,0.671,-2.866,-3.885,4.594
"S12","healthy",-1.349,3.186,0.158,-2.649,-3.374,-2.724,0.468,-0.962,-0.015,-2.428,-0.241,0.369,-2.488,-0.853,-1.082,-2.577,0.563,-0.391,-4.591,2.424,-0.165,-0.035,0.523,2.215,0.913,-3.3,-3.579,-1.229,-3.099,-0.925,-3.457,1.586,-1.095,3.048,0.076,1.051,-0.35,-1.896,-2.085,5.6
"S13","mild",0.04,-0.606,-1.389,-2.539,-0.574,0.675,-3.181,-0.009,0.477,-0.118,-1.186,-0.17,-2.281,-0.448,0.189,0.793,0.602,0.293,-1.992,-0.549,-1.719,1.696,-0.244,1.26,0.282,0.65,-1.663,1.906,1.002,-0.418,-2.946,-1.661,1.483,-1.51,1.334,2.736,-2.131,-1.512,3.394,0.043
"S14","mild",-0.643,-0.423,-1.19,-4.687,-0.41,-0.442,-0.804,1.893,1.734,-1.275,-0.25,0.038,-2.082,0.336,-0.814,-0.027,2.476,-0.547,-3.846,-0.445,-0.033,2.011,-1.267,1.736,-1.089,-0.278,0.001,1.603,-0.597,-1.337,-2.108,-1.786,0.495,1.388,0.705,1.781,-0.202,0.104,1.425,2.952
"S15","mild",0.519,1.926,-1.462,-1.958,-1.461,-0.977,-0.314,-0.352,0.997,0.729,-1.602,-0.091,-0.037,1.807,-0.262,-0.003,2.508,-0.697,-2.807,-0.141,-0.874,-0.173,-1.342,0.829,0.351,-0.393,-0.871,0.326,-0.46,-2.017,-2.008,-0.058,1.318,1.048,0.714,0.752,-0.552,-2.217,-0.648,3.735
"S16","mild",-0.278,0.347,-0.933,-2.239,-0.444,-1.886,-0.445,-0.194,1.17,-0.193,-1.018,-0.293,-1.296,0.035,0.392,-1.243,0.777,-0.114,-1.506,-0.909,-1.01,0.013,0.527,1.916,0.107,-0.664,-1.137,0.991,0.581,1.256,-2.112,0.113,-0.86,0.825,0.441,2.3,-0.975,-1.651,0.393,1.698
"S17","mild",-1.261,-0.832,-1.515,-5.468,0.572,0.386,-1.562,0.684,1.132,0.343,-2.528,-0.685,-2.053,-0.041,0.098,-1.379,4.329,-1.053,-2.053,-0.616,1.316,1.934,-1.338,2.37,-1.608,0.743,-2.339,2.258,-0.485,0.818,-2.524,-3.054,2.385,-0.229,2.607,2.616,-0.114,-2.005,2.888,3.306
"S18","mild",0.759,-1.955,-0.789,-0.684,1.208,1.158,-0.97,1.417,1.202,-0.387,-0.629,-0.03,-0.784,0.055,-0.101,-0.803,-0.717,-1.364,-1.191,0.188,-1.284,0.136,-1.213,0.503,-0.351,0.559,-0.328,1.76,-1.428,0.686,-0.805,-0.717,1.549,0.274,-0.208,-0.191,-1.324,0.058,1.362,-0.825
"S19","mild",0.709,-0.326,-0.939,-3.121,0.606,0.158,-1.967,1.158,3.322,0.967,-0.164,0.913,-1.164,-0.16,-1.529,-0.716,1.455,-0.245,-0.918,-1.607,-0.342,0.433,1.515,1.014,1.396,0.353,-1.563,2.496,-0.879,0.144,-2.993,-1.62,2.198,-0.332,0.482,1.167,-1.566,-1.939,1.827,1.101
"S20","mild",1.574,-1.124,-0.83,-3.417,-0.938,-1.524,-0.848,0.738,1.232,-0.095,-1.751,0.778,-2.098,-0.272,-0.874,-2.397,2.707,-0.278,-2.68,-0.645,-0.609,-0.75,-0.269,1.604,-0.019,-0.237,-2.242,1.915,0.923,-0.496,-4.453,-2.207,2.497,0.453,1.905,3.493,-2.227,-4.036,3.891,2.638
"S21","mild",-1.418,-0.19,-1.835,-4.441,-2.13,-3.013,-1.051,0.707,-0.401,-1.079,-2.514,1.384,-2.456,-0.161,-0.252,-0.16,1.793,-0.071,-3.004,-1.402,-0.422,1.245,0.348,1.238,-0.042,-0.939,-3.125,0.349,-1.181,-1.908,-3.856,-1.651,0.612,1.493,1.24,2.989,-2.041,-1.342,0.851,3.104
"S22","mild",-1.468,-0.625,-1.607,-1.955,0.881,-0.034,-2.025,1.703,2.64,-0.252,-0.402,0.755,-0.61,-0.338,-0.278,-0.099,1.347,-0.673,-1.461,-0.262,1.415,0.585,1.488,0.514,0.529,0.908,-2.075,0.577,-1.287,2.058,-1.347,-1.392,1.538,-0.096,0.468,0.38,-0.595,-0.201,3.431,0.839
"S23","mild",0.357,-0.404,-1.092,-2.828,1.135,0.232,-4.578,1.534,2.032,0.218,-2.636,0.856,-1.132,0.878,-0.486,0.081,1.717,-1.981,-2.566,-0.713,-0.647,0.263,0.541,0.982,0.575,1.091,-1.111,1.978,-1.352,0.968,-1.969,-3.863,3.104,1.277,2.259,2.443,-1.573,-0.773,2.226,1.109
"S24","mild",-1.16,-1.726,-0.777,-2.774,0.935,0.069,-1.787,1.688,1.619,-0.492,-1.362,0.796,-2.924,-0.317,-0.585,0.279,2.423,-2.045,-1.826,0.134,-0.384,1.3,-1.192,0.458,0.99,0.361,-2.395,0.751,-0.591,0.566,-3.318,-2.009,1.159,-0.371,0.353,3.355,-1.155,-0.211,2.62,2.009
"S25","severe",0.834,-4.472,1.308,4.577,5.618,2.858,1.036,1.517,-2.525,1.366,1.848,-2.058,2.481,0.49,1.796,4.64,-1.871,-2.394,6.705,-0.083,0.677,-1.666,-0.646,-3.433,-0.534,4.057,4.54,-0.225,0.262,0.751,3.699,-0.696,1.869,-4.349,-1.989,-2.353,1.526,4.991,0.804,-6.421
"S26","severe",-0.301,-2.776,0.518,4.247,6.268,2.667,-0.568,1.31,-2.255,3.727,0.728,-0.435,1.588,0.218,2.029,2.846,-0.253,-1.151,5.498,-3.121,-0.415,-1.406,-0.25,-2.585,-0.653,4.664,2.891,0.255,0.627,1.667,3.216,0.821,3.486,-1.34,1.151,-1.511,-0.834,3.295,1.543,-6.055
"S27","severe",1.175,-4.568,-0.582,3.988,8.453,3.855,1.008,1.849,-1.56,4.813,-0.169,-2.749,2.47,0.14,2.016,3.928,-0.616,0.264,9.12,-1.851,0.728,-2.662,-1.917,-4.867,-0.238,5.53,5.357,-1.209,-0.858,2.987,6.363,-2.173,6.102,-3.881,-0.647,-2.882,0.792,5.286,1.785,-9.008
"S28","severe",0.361,-3.557,-0.534,3.919,5.439,2.011,-1.299,1.171,-2.444,4.175,0.883,-1.185,2.385,-0.196,0.476,2.808,-1.278,-0.275,6.447,-0.939,0.18,-1.296,-0.956,-2.222,-0.869,3.777,4.297,1.431,1.626,1.243,2.962,-0.235,4.027,-2.8,0.95,-1.326,0.142,2.929,3.578,-5.741
"S29","severe",1.55,-1.817,0.587,3.581,2.936,1.556,-1.736,2.482,-0.827,2.913,1.543,-0.904,-0.168,-0.619,0.368,1.81,0.393,-0.653,4.97,-1.677,1.583,-2.433,-1.692,-2.896,0.6,3.964,3.115,0.47,0.6,1.981,2.411,-2.043,2.514,-1.901,-0.948,-1.368,0.143,2.827,2.252,-6.161
"S30","severe",-1.368,-4.397,-0.103,3.207,4.984,2.43,-0.284,3.229,-0.645,2.533,-0.244,-1.994,-0.495,-0.214,1.111,2.572,-0.553,-0.744,4.381,-2.979,-0.269,-1.605,-1.538,-2.793,-0.027,3.665,1.305,1.146,0.68,0.339,2.069,-1.927,3.418,-2.612,-0.11,-1.477,-1.995,2.593,3.271,-4.61
"S31","severe",-0.006,-2.531,-0.996,1.373,3.337,2.713,0.329,2.084,-2.137,2.849,1.699,-0.384,1.436,0.599,0.66,2.204,-2.887,-2.283,4.366,-2.848,-1.089,0.536,1.124,-1.478,-0.646,3.222,3,-0.95,-1.294,1.423,1.844,0.21,2.329,-3.015,0.392,-2.691,-0.314,2.206,2.204,-4.402
"S32","severe",1.034,-2.539,-0.146,3.977,5.209,2.482,0.197,1.721,-1.346,3.595,0.979,-1.834,0.822,0.387,2.954,2.887,-0.29,-0.369,7.96,-2.342,-1.196,-1.178,-2.676,-3.999,-0.275,2.097,4.766,0.546,-0.872,0.23,3.851,-1.557,4.082,-2.505,0.005,-2.07,-1.35,5.106,-0.331,-8.984
"S33","severe",1.764,-4.208,-1.106,4.18,5.251,3.775,0.346,2.216,-0.537,1.697,2.135,0.469,2.034,-0.963,1.901,2.32,-1.98,0.182,7.8,-0.681,0.81,-0.012,-0.206,-2.42,-0.866,5.035,3.694,-0.788,0.434,1.271,6.015,1.869,4.975,-1.831,-0.99,-2.754,-0.798,4.917,-0.74,-6.692
"S34","severe",0.727,-4.317,-0.155,3.323,3.749,0.241,-0.041,0.897,-1.613,2.951,0.761,-0.605,4.128,-0.308,0.817,2.125,0.251,0.172,5.471,-1.4,1.394,-1.708,-0.525,-2.717,-0.376,2.255,4.314,-0.698,-0.722,2.12,4.229,0.065,1.048,-0.789,-1.408,-1.85,1.281,3.475,0.053,-5.655
"S35","severe",-0.538,-3.08,0.657,5.244,5.816,3.69,1.562,0.914,-0.948,3.007,0.824,-2.015,3.092,-0.184,1.383,2.09,-1.139,-0.721,6.389,0.197,1.28,-0.794,0.973,-2.634,-1.212,4.314,4.736,-0.719,0.562,0.678,4.222,1.38,3.681,-3.045,0.146,-2.772,-0.008,3.686,0.059,-7.054
"S36","severe",1.982,-4.435,-1.291,3.769,6.615,1.287,0.659,1.388,-1.563,3.716,0.288,-0.546,1.866,-1.02,2.042,2.674,0.439,-0.766,5.894,-1.729,-0.534,-1.875,-0.328,-2.719,-0.412,2.82,2.276,-0.003,0.99,1.533,3.016,-0.325,4.28,-3.648,-0.197,-0.97,-1.66,3.004,1.333,-5.107
