"gene","log2FoldChange","pvalue","padj"
"GENE1158",-5.7436,1.133e-09,1.079e-08
"GENE1103",1.2218,1.578e-08,1.491e-07
"GENE1074",-3.6136,2.358e-08,2.21e-07
"GENE1129",1.934,4.657e-08,4.332e-07
"GENE1130",-2.5796,1.369e-07,1.263e-06
"GENE1101",1.5616,1.62e-07,1.484e-06
"GENE1178",-1.8438,2.242e-07,2.038e-06
"GENE1106",-2.3799,5.707e-07,5.15e-06
"GENE1067",1.4971,1.405e-06,1.258e-05
"GENE1084",-1.4981,1.988e-06,1.767e-05
"GENE1082",-1.4992,2.113e-06,1.865e-05
"GENE1125",7.6866,2.381e-06,2.086e-05
"GENE1116",-2.7149,5.821e-06,5.061e-05
"GENE1147",2.2095,6.17e-06,5.326e-05
"GENE1059",1.2217,1.262e-05,0.0001082
"GENE1109",1.5085,1.649e-05,0.0001403
"GENE1060",-2.7942,1.805e-05,0.0001526
"GENE1143",1.986,1.829e-05,0.0001535
"GENE1127",2.8309,1.843e-05,0.0001536
"GENE1170",-2.9606,2.364e-05,0.0001957
"GENE1098",-6.2876,2.503e-05,0.0002057
"GENE1058",-2.7914,3.365e-05,0.0002747
"GENE1070",-3.3715,5.496e-05,0.0004456
"GENE1182",-1.6151,6.467e-05,0.0005209
"GENE1140",-3.0623,7.238e-05,0.000579
"GENE0783",-0.3791,0.0005705,0.004534
"GENE0229",0.0887,0.0006563,0.005182
"GENE0965",-0.6699,0.001478,0.01159
"GENE0795",-0.0994,0.002587,0.02016
"GENE0734",-0.4427,0.002821,0.02184
"GENE0958",0.184,0.003436,0.02643
"GENE0155",-0.6694,0.006719,0.05135
"GENE0938",-0.6097,0.00726,0.05514
"GENE0028",-0.6618,0.009437,0.07122
"GENE0021",0.4135,0.01013,0.07598
"GENE0310",0.1454,0.01055,0.07862
"GENE1012",-0.0974,0.01099,0.08142
"GENE0972",0.3951,0.01284,0.0945
"GENE0492",1.0281,0.0151,0.1105
"GENE1043",-0.4401,0.01565,0.1138
"GENE0262",-0.1752,0.01584,0.1145
"GENE0989",0.3516,0.01625,0.1167
"GENE0754",0.3003,0.01702,0.1216
"GENE0676",-0.645,0.01726,0.1225
"GENE0307",0.0373,0.0176,0.1242
"GENE0558",0.3655,0.01809,0.127
"GENE0091",-0.2441,0.01827,0.1275
"GENE0408",-0.1331,0.01851,0.1284
"GENE0184",-0.6603,0.02078,0.1431
"GENE0581",-0.6194,0.02086,0.1431
"GENE0845",-0.2045,0.02559,0.1745
"GENE0090",0.1202,0.02719,0.1843
"GENE1031",-0.2401,0.02748,0.1852
"GENE0088",-0.1369,0.02773,0.1859
"GENE0941",-0.0187,0.02844,0.1896
"GENE0234",0.2567,0.02951,0.1957
"GENE0156",-0.4838,0.03025,0.1993
"GENE0201",0.1842,0.03045,0.1993
"GENE0394",0.138,0.03056,0.1993
"GENE0838",0.136,0.03089,0.2004
"GENE0305",0.7444,0.03167,0.2043
"GENE0055",0.6449,0.03247,0.2084
"GENE0031",0.6114,0.03329,0.2094
"GENE0035",-0.6197,0.03333,0.2094
"GENE0524",0.0936,0.03297,0.2094
"GENE1002",0.5004,0.03301,0.2094
"GENE0289",0.1952,0.03595,0.2235
"GENE0921",0.3317,0.03595,0.2235
"GENE0468",0.2826,0.03634,0.2248
"GENE0557",-1.0493,0.03691,0.2271
"GENE0716",-1.0856,0.03792,0.2322
"GENE0124",-0.0808,0.0397,0.2418
"GENE0717",-0.1412,0.04046,0.2452
"GENE0142",0.5295,0.04467,0.2694
"GENE0226",0.8114,0.04655,0.2779
"GENE0384",0.074,0.04636,0.2779
"GENE1022",0.3483,0.04812,0.2859
"GENE0024",-0.8952,0.04866,0.2876
"GENE0379",-0.0738,0.04926,0.2883
"GENE0872",0.1545,0.04926,0.2883
"GENE0139",-0.2934,0.04969,0.2895
"GENE0297",0.3445,0.05071,0.2926
"GENE0374",-0.031,0.05061,0.2926
"GENE0554",-0.1777,0.05209,0.2976
"GENE0886",0.7884,0.05208,0.2976
"GENE0302",-0.4713,0.05258,0.299
"GENE0053",0.1535,0.05432,0.3056
"GENE0601",-0.1535,0.05432,0.3056
"GENE0860",-0.14,0.05449,0.3056
"GENE0321",0.5886,0.05585,0.3117
"GENE0660",0.3172,0.05643,0.3135
"GENE0461",-0.2039,0.05749,0.3179
"GENE0770",-0.5006,0.05877,0.3235
"GENE0654",-0.6435,0.05909,0.3238
"GENE0301",0.4022,0.05973,0.3249
"GENE1016",-0.0785,0.05983,0.3249
"GENE0841",0.9026,0.06249,0.3378
"GENE0870",-0.0536,0.06294,0.3387
"GENE0584",0.7551,0.06741,0.3611
"GENE0846",0.0709,0.06874,0.3666
"GENE0715",-0.1475,0.07109,0.3775
"GENE0385",0.5197,0.0719,0.3801
"GENE0402",0.853,0.07334,0.386
"GENE0625",0.3103,0.07575,0.397
"GENE0882",0.2856,0.07782,0.4043
"GENE0987",-0.367,0.07782,0.4043
"GENE0260",-0.1914,0.07839,0.4055
"GENE0029",-0.2152,0.07921,0.408
"GENE0004",0.7179,0.07992,0.4082
"GENE0635",-0.7078,0.07994,0.4082
"GENE0129",-0.3067,0.08032,0.4084
"GENE0167",-0.1148,0.08111,0.4107
"GENE0918",0.3102,0.08162,0.4116
"GENE0946",0.366,0.0823,0.4132
"GENE0786",-0.6009,0.08576,0.427
"GENE0806",-0.0801,0.0857,0.427
"GENE0547",-0.3151,0.08918,0.4422
"GENE0537",0.1365,0.09032,0.446
"GENE0389",-0.8572,0.09077,0.4464
"GENE0100",-0.213,0.09145,0.4479
"GENE0185",0.2345,0.09588,0.4594
"GENE0232",-1.3,0.09574,0.4594
"GENE0419",-0.6435,0.09471,0.4594
"GENE0623",0.8031,0.09575,0.4594
"GENE0670",0.9854,0.09516,0.4594
"GENE0789",0.3041,0.0961,0.4594
"GENE0548",0.2418,0.09739,0.4637
"GENE0644",-0.2966,0.09813,0.4645
"GENE0791",-0.0391,0.09832,0.4645
"GENE0399",-0.3218,0.09876,0.4648
"GENE0516",0.1042,0.09938,0.4659
"GENE0048",0.3458,0.1006,0.4696
"GENE0231",-0.4436,0.101,0.47
"GENE0590",-0.3425,0.1022,0.4733
"GENE0046",-0.3184,0.1032,0.4762
"GENE0151",0.2026,0.104,0.4783
"GENE0110",0.757,0.1062,0.4841
"GENE0681",0.485,0.1059,0.4841
"GENE0704",-0.0063,0.1073,0.4841
"GENE0897",-0.4192,0.1068,0.4841
"GENE0922",1.0446,0.107,0.4841
"GENE0720",0.4931,0.1086,0.4881
"GENE0211",-0.074,0.1108,0.4938
"GENE0237",0.2524,0.1135,0.4938
"GENE0507",-0.6177,0.114,0.4938
"GENE0663",-0.3795,0.1112,0.4938
"GENE0843",1.3751,0.1138,0.4938
"GENE0868",-0.7645,0.1114,0.4938
"GENE0925",0.1896,0.1131,0.4938
"GENE0960",-1.0079,0.1129,0.4938
"GENE0990",0.3044,0.1127,0.4938
"GENE1004",0.0948,0.1127,0.4938
"GENE0609",0.9008,0.1145,0.4941
"GENE0173",0.2056,0.1154,0.4961
"GENE0646",-0.717,0.1181,0.5061
"GENE0710",0.7892,0.1192,0.5091
"GENE0613",-0.1733,0.1207,0.5132
"GENE0678",-0.3299,0.121,0.5132
"GENE0573",0.3626,0.1223,0.5167
"GENE0096",0.2513,0.1235,0.5183
"GENE0207",0.3002,0.1232,0.5183
"GENE0780",0.5056,0.1242,0.5192
"GENE0648",-0.8327,0.1263,0.5261
"GENE0672",0.5318,0.1271,0.5279
"GENE0103",-0.4099,0.1287,0.5287
"GENE0350",0.8494,0.1284,0.5287
"GENE0947",0.6067,0.128,0.5287
"GENE0464",0.268,0.1292,0.529
"GENE0416",0.2356,0.132,0.5385
"GENE0593",0.6272,0.1328,0.5385
"GENE0633",-0.329,0.1328,0.5385
"GENE0839",-0.4691,0.1359,0.5473
"GENE0912",-0.2083,0.1359,0.5473
"GENE0134",-0.6833,0.1369,0.5493
"GENE0288",0.4253,0.138,0.552
"GENE0115",-0.0933,0.1389,0.5536
"GENE0369",-0.2576,0.1395,0.5542
"GENE0515",-0.1817,0.1415,0.5572
"GENE0802",-0.8217,0.1408,0.5572
"GENE0928",-0.0853,0.1416,0.5572
"GENE0070",0.9777,0.1442,0.5636
"GENE0442",0.7977,0.1439,0.5636
"GENE0599",0.4071,0.1447,0.5636
"GENE0450",-1.0542,0.1469,0.5706
"GENE0510",-0.5014,0.1489,0.5742
"GENE0693",-0.8852,0.1493,0.5742
"GENE0753",-0.5627,0.1492,0.5742
"GENE0526",-0.758,0.1509,0.5767
"GENE0640",0.2516,0.1505,0.5767
"GENE0722",-0.3505,0.1514,0.5767
"GENE0084",-0.6856,0.1527,0.5781
"GENE0924",-0.5103,0.1523,0.5781
"GENE0285",-0.2613,0.1535,0.5791
"GENE0005",0.1483,0.1561,0.5856
"GENE0998",-0.1887,0.1562,0.5856
"GENE0113",0.6445,0.1601,0.5968
"GENE0174",-0.0347,0.161,0.5968
"GENE0621",-0.115,0.1602,0.5968
"GENE1017",-0.2661,0.1611,0.5968
"GENE0387",-0.9582,0.1624,0.5995
"GENE0257",-1.0814,0.1633,0.601
"GENE0447",-0.6148,0.1641,0.6022
"GENE0042",-0.114,0.1656,0.606
"GENE0051",0.1791,0.1689,0.6086
"GENE0163",0.4763,0.168,0.6086
"GENE0300",-0.1376,0.1687,0.6086
"GENE0505",0.4462,0.1686,0.6086
"GENE0814",-1.0909,0.1677,0.6086
"GENE0126",0.3207,0.1703,0.6102
"GENE0132",-0.265,0.1702,0.6102
"GENE0072",-0.3195,0.1738,0.6182
"GENE0857",-0.3447,0.1741,0.6182
"GENE0907",0.2966,0.1733,0.6182
"GENE0256",0.5158,0.1773,0.6225
"GENE0423",-0.0293,0.1771,0.6225
"GENE0425",0.2564,0.1766,0.6225
"GENE0903",0.119,0.1774,0.6225
"GENE0513",-0.4353,0.1782,0.6233
"GENE0016",-0.0202,0.1812,0.6256
"GENE0054",-0.5082,0.1819,0.6256
"GENE0193",-0.3293,0.183,0.6256
"GENE0536",-0.3463,0.1827,0.6256
"GENE0634",0.0089,0.1802,0.6256
"GENE0711",0.7058,0.1801,0.6256
"GENE0899",-0.9398,0.1809,0.6256
"GENE1049",0.2184,0.1823,0.6256
"GENE0675",0.2578,0.1845,0.629
"GENE0562",-0.0102,0.1863,0.6334
"GENE0542",0.1598,0.1879,0.6366
"GENE0847",0.42,0.1883,0.6366
"GENE0164",0.3989,0.1889,0.6367
"GENE0165",-0.2787,0.1916,0.6439
"GENE0409",0.6488,0.1921,0.6441
"GENE0627",0.3215,0.1941,0.6488
"GENE0437",0.4014,0.1957,0.6503
"GENE0452",-0.272,0.1967,0.6503
"GENE0559",-0.2256,0.1965,0.6503
"GENE0822",0.4326,0.1964,0.6503
"GENE0550",0.1764,0.1985,0.6545
"GENE0522",0.1308,0.1997,0.6565
"GENE0190",-0.4167,0.201,0.6591
"GENE0555",0.6974,0.2039,0.6612
"GENE0563",0.3156,0.2044,0.6612
"GENE0588",0.211,0.204,0.6612
"GENE0615",1.2041,0.2034,0.6612
"GENE0833",0.4551,0.204,0.6612
"GENE0037",-0.1774,0.2077,0.6632
"GENE0043",0.3136,0.2061,0.6632
"GENE0118",-0.1256,0.2078,0.6632
"GENE0619",-0.1116,0.2075,0.6632
"GENE0829",-0.6354,0.207,0.6632
"GENE0146",-0.3379,0.2093,0.6663
"GENE0877",0.0794,0.2099,0.6663
"GENE0595",-0.9515,0.213,0.6726
"GENE0949",-0.2221,0.2129,0.6726
"GENE0022",0.352,0.2145,0.6731
"GENE0133",0.2392,0.2148,0.6731
"GENE0434",-0.0112,0.2148,0.6731
"GENE0027",-0.0701,0.2194,0.6738
"GENE0097",-0.5745,0.2217,0.6738
"GENE0138",-0.2377,0.2218,0.6738
"GENE0154",-0.4182,0.221,0.6738
"GENE0158",-0.2796,0.2205,0.6738
"GENE0279",-0.5923,0.218,0.6738
"GENE0378",-0.0656,0.2181,0.6738
"GENE0502",-0.1336,0.216,0.6738
"GENE0707",-0.6854,0.2215,0.6738
"GENE0708",-0.1899,0.2201,0.6738
"GENE1006",-0.7482,0.22,0.6738
"GENE1029",-0.5888,0.219,0.6738
"GENE0688",0.4317,0.2239,0.6785
"GENE0667",-0.6025,0.227,0.6845
"GENE0674",-0.6555,0.227,0.6845
"GENE0827",-0.5713,0.2287,0.6877
"GENE0878",0.4121,0.2301,0.6902
"GENE0564",-0.2644,0.2319,0.6938
"GENE0764",-0.0559,0.233,0.6955
"GENE0392",0.277,0.234,0.6969
"GENE0145",-0.5022,0.2362,0.6994
"GENE0427",-0.7368,0.2361,0.6994
"GENE0768",0.577,0.2366,0.6994
"GENE0221",-0.7799,0.239,0.7018
"GENE0538",0.5768,0.2392,0.7018
"GENE0665",-0.7972,0.2392,0.7018
"GENE0353",0.171,0.2402,0.7029
"GENE0366",0.2755,0.2427,0.707
"GENE0620",-0.1113,0.2427,0.707
"GENE0534",-0.2033,0.2448,0.7112
"GENE0518",0.1684,0.2455,0.7115
"GENE0179",0.4623,0.2469,0.7139
"GENE0661",0.1489,0.2478,0.7147
"GENE0157",0.45,0.2501,0.7192
"GENE0490",0.2316,0.2505,0.7192
"GENE0460",0.2411,0.254,0.7206
"GENE0493",-0.3985,0.252,0.7206
"GENE0612",0.1497,0.2539,0.7206
"GENE0719",0.0589,0.2523,0.7206
"GENE0898",0.5466,0.2538,0.7206
"GENE0801",-0.4891,0.2551,0.722
"GENE0631",-0.5525,0.256,0.7229
"GENE0360",-0.0879,0.2576,0.7256
"GENE0299",-0.0228,0.2606,0.7284
"GENE0474",0.1984,0.2603,0.7284
"GENE0551",0.2236,0.2616,0.7284
"GENE0576",0.444,0.2594,0.7284
"GENE0896",-0.006,0.2614,0.7284
"GENE0015",0.5062,0.2652,0.7317
"GENE0128",-0.0169,0.2647,0.7317
"GENE0673",-0.2373,0.2642,0.7317
"GENE0948",1.0133,0.2636,0.7317
"GENE0071",0.214,0.2667,0.7328
"GENE0219",0.289,0.2669,0.7328
"GENE0636",-0.3165,0.2712,0.743
"GENE0330",0.3057,0.2722,0.7441
"GENE0064",0.0126,0.2766,0.7458
"GENE0274",1.1921,0.275,0.7458
"GENE0440",0.2909,0.2746,0.7458
"GENE0567",-0.1114,0.2758,0.7458
"GENE0758",0.4527,0.2764,0.7458
"GENE0954",0.0965,0.2758,0.7458
"GENE0206",1.1239,0.2805,0.7465
"GENE0267",-0.19,0.2795,0.7465
"GENE0498",-0.4981,0.2803,0.7465
"GENE0746",-0.6056,0.2795,0.7465
"GENE0851",0.2027,0.2806,0.7465
"GENE0861",0.3582,0.2779,0.7465
"GENE0932",0.4119,0.2812,0.7465
"GENE0076",0.1312,0.2837,0.747
"GENE0561",-0.5469,0.2837,0.747
"GENE0709",0.6124,0.2822,0.747
"GENE0712",0.5835,0.2844,0.747
"GENE0812",0.3271,0.2845,0.747
"GENE0199",0.1854,0.2863,0.7477
"GENE0926",-0.4161,0.2862,0.7477
"GENE0944",0.1058,0.2866,0.7477
"GENE0147",0.9392,0.2896,0.7505
"GENE0585",0.2197,0.2892,0.7505
"GENE0757",0.9096,0.2894,0.7505
"GENE0517",-0.1901,0.2904,0.7509
"GENE0761",-0.0051,0.291,0.7509
"GENE0008",0.3322,0.2948,0.7585
"GENE0367",0.3053,0.2952,0.7585
"GENE0334",0.614,0.2967,0.759
"GENE0811",0.159,0.2962,0.759
"GENE0362",0.5913,0.298,0.7591
"GENE1036",0.2042,0.2977,0.7591
"GENE0521",-0.3318,0.299,0.7602
"GENE0148",0.0078,0.2998,0.7607
"GENE0341",0.3328,0.3025,0.7642
"GENE0480",-0.0126,0.3024,0.7642
"GENE0435",0.2668,0.3053,0.7697
"GENE0159",-0.623,0.3081,0.7702
"GENE0243",0.1006,0.308,0.7702
"GENE0411",-0.1747,0.3074,0.7702
"GENE0995",0.0545,0.3075,0.7702
"GENE0725",-0.439,0.3106,0.7748
"GENE0191",-0.0797,0.3127,0.7753
"GENE0214",-0.6166,0.3121,0.7753
"GENE1024",0.3435,0.3116,0.7753
"GENE0971",0.2051,0.3147,0.7786
"GENE0135",0.138,0.3207,0.7868
"GENE0400",0.3894,0.3207,0.7868
"GENE0552",-0.1012,0.3188,0.7868
"GENE0690",-0.4684,0.3223,0.7868
"GENE0858",-0.4292,0.3203,0.7868
"GENE0957",0.4341,0.3221,0.7868
"GENE1019",-0.4938,0.3226,0.7868
"GENE0316",0.4811,0.3247,0.7871
"GENE0610",0.0998,0.3241,0.7871
"GENE0966",-0.5223,0.324,0.7871
"GENE0075",-0.5641,0.3425,0.7888
"GENE0120",-0.0798,0.3334,0.7888
"GENE0143",-0.7492,0.33,0.7888
"GENE0175",-0.1503,0.3352,0.7888
"GENE0212",0.1893,0.3383,0.7888
"GENE0235",-0.0269,0.3421,0.7888
"GENE0239",0.4935,0.3302,0.7888
"GENE0283",0.5959,0.3368,0.7888
"GENE0294",-0.6418,0.338,0.7888
"GENE0295",0.8003,0.3291,0.7888
"GENE0356",0.2683,0.3297,0.7888
"GENE0372",0.1251,0.3353,0.7888
"GENE0380",0.7936,0.3386,0.7888
"GENE0421",0.6458,0.3349,0.7888
"GENE0429",-0.2885,0.3391,0.7888
"GENE0494",0.05,0.3267,0.7888
"GENE0497",0.1384,0.3424,0.7888
"GENE0560",-0.2299,0.341,0.7888
"GENE0569",-0.2816,0.3406,0.7888
"GENE0594",-0.4666,0.338,0.7888
"GENE0598",-0.1962,0.3363,0.7888
"GENE0656",-1.3229,0.3425,0.7888
"GENE0682",-0.5395,0.3416,0.7888
"GENE0683",0.0975,0.3336,0.7888
"GENE0863",-0.3575,0.3285,0.7888
"GENE0940",-0.4205,0.3375,0.7888
"GENE0883",-0.0281,0.3432,0.7891
"GENE0019",0.3695,0.3467,0.7901
"GENE0044",0.2505,0.3486,0.7901
"GENE0195",-0.5436,0.3481,0.7901
"GENE0639",-0.4383,0.3468,0.7901
"GENE0730",-0.1597,0.3463,0.7901
"GENE0885",0.4966,0.349,0.7901
"GENE0893",0.6274,0.3474,0.7901
"GENE0951",0.5372,0.3455,0.7901
"GENE0144",-0.2086,0.3505,0.7906
"GENE0238",-0.5339,0.3503,0.7906
"GENE0424",-0.7918,0.3517,0.7917
"GENE0241",0.3183,0.3536,0.7946
"GENE0290",0.4523,0.355,0.7948
"GENE0908",0.107,0.3549,0.7948
"GENE0036",-0.1867,0.3662,0.7967
"GENE0068",0.6595,0.3669,0.7967
"GENE0085",0.2673,0.3678,0.7967
"GENE0108",0.4096,0.3655,0.7967
"GENE0327",-0.159,0.3672,0.7967
"GENE0342",-0.4786,0.3632,0.7967
"GENE0382",0.5001,0.3601,0.7967
"GENE0391",0.5958,0.3575,0.7967
"GENE0541",-0.1883,0.3629,0.7967
"GENE0611",0.074,0.3668,0.7967
"GENE0694",-0.3402,0.3637,0.7967
"GENE0729",0.2257,0.3626,0.7967
"GENE0930",0.1548,0.3603,0.7967
"GENE0936",0.9761,0.3591,0.7967
"GENE0942",0.3043,0.3565,0.7967
"GENE1001",0.5107,0.3667,0.7967
"GENE1008",-0.8606,0.3631,0.7967
"GENE1026",-0.5636,0.3595,0.7967
"GENE0253",-0.0313,0.3708,0.8002
"GENE0785",0.4011,0.3707,0.8002
"GENE0011",0.6803,0.4008,0.81
"GENE0012",0.1754,0.3968,0.81
"GENE0033",0.1745,0.394,0.81
"GENE0060",-0.0608,0.3797,0.81
"GENE0107",0.3225,0.402,0.81
"GENE0209",-0.006,0.406,0.81
"GENE0216",0.6839,0.4043,0.81
"GENE0242",0.4653,0.4062,0.81
"GENE0265",0.7738,0.3801,0.81
"GENE0275",0.0702,0.3969,0.81
"GENE0280",0.4139,0.3932,0.81
"GENE0291",-0.1756,0.3789,0.81
"GENE0298",0.4298,0.401,0.81
"GENE0335",-0.1504,0.3855,0.81
"GENE0361",-1.1665,0.3835,0.81
"GENE0377",0.058,0.3854,0.81
"GENE0397",0.7168,0.3991,0.81
"GENE0410",-0.3139,0.3843,0.81
"GENE0448",-0.1908,0.407,0.81
"GENE0470",0.4875,0.4017,0.81
"GENE0472",-0.7285,0.4033,0.81
"GENE0531",-0.5365,0.383,0.81
"GENE0565",-0.273,0.4061,0.81
"GENE0582",0.0755,0.3828,0.81
"GENE0583",0.7131,0.3816,0.81
"GENE0643",0.3209,0.3887,0.81
"GENE0662",0.4393,0.3981,0.81
"GENE0679",0.0949,0.4064,0.81
"GENE0705",-0.5056,0.3888,0.81
"GENE0760",-0.2988,0.3905,0.81
"GENE0762",0.2789,0.3859,0.81
"GENE0774",0.6376,0.3968,0.81
"GENE0790",-0.3549,0.3989,0.81
"GENE0794",0.3704,0.405,0.81
"GENE0799",-1.1683,0.394,0.81
"GENE0821",-0.0783,0.3917,0.81
"GENE0834",-0.2537,0.4006,0.81
"GENE0837",1.0063,0.3951,0.81
"GENE0859",-0.1791,0.388,0.81
"GENE0904",-0.5034,0.3971,0.81
"GENE0923",0.157,0.3964,0.81
"GENE0931",0.3663,0.407,0.81
"GENE0952",-0.0524,0.4054,0.81
"GENE0955",-0.0605,0.4057,0.81
"GENE0985",0.2089,0.3851,0.81
"GENE1023",0.3533,0.3938,0.81
